company_name,review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
Public-Bank-Berhad,11 April 2025,Not a good choice,"I am currently working there as a Management Trainee, i find it even in a week it is too overwhelming. The management is on another whole different level, they tend to stick with the paper based era whereas people are going towards technologies. I would say run while you can, there is no good employee welfare, pantry is provided but not with food, works are expected to be learnt in one go despite learning phase. Superiors are just not very welcoming, there is this heavy aura around them. Working here means forgetting of going back on time, the very first day itself the manager told me "" here i don't want people to go back on time"" usual working time is from 08:45 am to 5:45pm but you are required to work more but none is claimable. Basically speaking no one goes back on time sharp 05:45pm. Overall the management and the way they handle the process of everything is super old school, they still have typewriters to write on vouchers. therefore, explore other firm or field this place is not recommended for the sake of sanity.",2,Management Trainee,Pahang,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews
Cimb-Group,10 April 2025,Fun,great place to work and grow. Superior guidance all the time. Great benefits. Nice working environment and space. Flexible working hours. Cons - distance,5,Manager,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
RHB Bank Berhad,6 April 2025,good environment and supportive,"No increment, not offered as permanent position even though work more than 3years, low benefit. It is not wrong to use the offer contract thru agency but if the employee already work more than 1 year with a good results, offer them permanent position.",3,collection officer,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
Public-Bank-Berhad,28 March 2025,Profesional Environment,"Didnt work here, but got the chances to be interviewed but unfortunately, it didnt goes really well. The interview process was nice tho, the hr seems professional. They call u right after seeing ur resume",4,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews
RHB Bank Berhad,23 March 2025,Flexible working mode,The trust is given by allowing you to empower the action to complete your work & you are able to work from home. I hope for a better insurance benefit for dependents & salary base.,4,,,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews
Public-Bank-Berhad,20 March 2025,High expectation and workload,"Pros: Bonus and increment consistently high every year medical benefits great teammates, almost no politics Cons: 1 person would do jobs of 3 people at other banks Expected to learn on the go old tech and equipment",4,Assistant Manager,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews
Cimb-Group,15 March 2025,Gap between newbie and managers,"I used to work at CIMB as financial analyst, working environment is fine but somehow I saw that everyone is trying really hard to appeal bosses which",3,,,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
maybank,13 March 2025,Good benefits,"Pro Good benefits to employee-insurance,bonus,allowances,increment,epf, staff loan, building facilities Cons Promoted next grade slow Too many expatriates",5,IT,Menara Maybank,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
Public-Bank-Berhad,7 March 2025,A good company to start with in banking line,"Working at Public Bank Berhad can be a rewarding yet demanding experience, especially in the fast-paced environment of a commercial bank. Like most banks, the workload can be overwhelming, with employees often expected to handle multiple responsibilities, tight deadlines, and high-performance targets. Long working hours are common, particularly in departments such as sales, credit analysis, and customer service. However, this is considered the norm in the banking industry, where efficiency and accuracy are crucial. One of the key factors that can make the experience more enjoyable is having supportive and competent teammates. A good team can help ease the workload, provide guidance, and create a positive work environment, making it easier to manage stress. Public Bank is known for its structured work culture, and employees who can adapt to its disciplined and customer-focused approach tend to succeed. Overall, while the job can be challenging, it offers stability, career growth opportunities, and valuable banking experience. Employees who thrive under pressure and enjoy teamwork may find Public Bank a good place to build a long-term career.",4,Credit Analyst,Kuala Lumpur,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews?start=20
maybank,3 March 2025,Great for experience,"Maybank is a good place for fresh graduate, a lot you can learn and develop here. However, there is no work life balance that may make you exhausted. Need to always on standby mode.",4,Protege,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
